-0.038 -0.054 -0.222 0.032 0.368 0.336 
0.078 0.08 -0.272 -0.004 0.7 0.704 
-0.028 -0.026 -0.242 -0.004 0.428 0.432 
-0.026 -0.014 -0.242 -0.024 0.432 0.456 
-0.018 -0.018 -0.24 0 0.444 0.444 
-0.028 0.004 -0.248 -0.064 0.44 0.504 
-0.048 0.074 -0.204 -0.244 0.312 0.556 
-0.022 0.066 -0.238 -0.176 0.432 0.608 
-0.02 0.078 -0.228 -0.196 0.416 0.612 
-0.024 0.084 -0.228 -0.216 0.408 0.624 
-0.018 0.082 -0.23 -0.2 0.424 0.624 
-0.022 0.088 -0.23 -0.22 0.416 0.636 
-0.018 0.082 -0.226 -0.2 0.416 0.616 
-0.018 0.088 -0.228 -0.212 0.42 0.632 
-0.018 0.11 -0.212 -0.256 0.388 0.644 
-0.014 0.138 -0.192 -0.304 0.356 0.66 
-0.024 0.186 -0.156 -0.42 0.264 0.684 
-0.018 0.186 -0.16 -0.408 0.284 0.692 
-0.02 0.154 -0.194 -0.348 0.348 0.696 
-0.018 0.128 -0.202 -0.292 0.368 0.66 
-0.014 0.112 -0.212 -0.252 0.396 0.648 
-0.014 0.112 -0.218 -0.252 0.408 0.66 
-0.016 0.108 -0.218 -0.248 0.404 0.652 
-0.018 0.108 -0.22 -0.252 0.404 0.656 
-0.018 0.102 -0.218 -0.24 0.4 0.64 
-0.018 0.102 -0.22 -0.24 0.404 0.644 
-0.016 0.102 -0.222 -0.236 0.412 0.648 
-0.02 0.1 -0.222 -0.24 0.404 0.644 
0.034 0.086 -0.214 -0.104 0.496 0.6 
-0.016 0.236 -0.228 -0.504 0.424 0.928 
-0.024 0.104 -0.22 -0.256 0.392 0.648 
-0.02 0.102 -0.224 -0.244 0.408 0.652 
-0.018 0.102 -0.224 -0.24 0.412 0.652 
-0.02 0.102 -0.22 -0.244 0.4 0.644 
-0.024 0.022 -0.24 -0.092 0.432 0.524 
-0.028 0.006 -0.242 -0.068 0.428 0.496 
-0.032 0.006 -0.236 -0.076 0.408 0.484 
-0.028 0.006 -0.238 -0.068 0.42 0.488 
-0.03 0.006 -0.238 -0.072 0.416 0.488 
-0.032 0.004 -0.238 -0.072 0.412 0.484 
-0.03 0.004 -0.238 -0.068 0.416 0.484 
-0.028 0.014 -0.242 -0.084 0.428 0.512 
-0.028 0.016 -0.24 -0.088 0.424 0.512 
-0.028 0.008 -0.242 -0.072 0.428 0.5 
-0.028 0.01 -0.244 -0.076 0.432 0.508 
-0.024 0.012 -0.244 -0.072 0.44 0.512 
-0.032 -0.014 -0.24 -0.036 0.416 0.452 
-0.012 0 -0.24 -0.024 0.456 0.48 
-0.024 0 -0.242 -0.048 0.436 0.484 
-0.028 0.012 -0.244 -0.08 0.432 0.512 
-0.032 0.004 -0.24 -0.072 0.416 0.488 
-0.022 0.01 -0.236 -0.064 0.428 0.492 
-0.026 0.074 -0.23 -0.2 0.408 0.608 
-0.02 0.074 -0.226 -0.188 0.412 0.6 
-0.022 0.07 -0.232 -0.184 0.42 0.604 
-0.022 0.074 -0.23 -0.192 0.416 0.608 
-0.022 0.074 -0.23 -0.192 0.416 0.608 
-0.022 0.074 -0.23 -0.192 0.416 0.608 
-0.02 0.074 -0.226 -0.188 0.412 0.6 
-0.022 0.076 -0.232 -0.196 0.42 0.616 
-0.02 0.072 -0.23 -0.184 0.42 0.604 
-0.02 0.074 -0.232 -0.188 0.424 0.612 
-0.018 0.076 -0.23 -0.188 0.424 0.612 
-0.022 0.074 -0.23 -0.192 0.416 0.608 
-0.02 0.078 -0.228 -0.196 0.416 0.612 
-0.02 0.078 -0.226 -0.196 0.412 0.608 
-0.02 0.074 -0.232 -0.188 0.424 0.612 
-0.022 0.078 -0.228 -0.2 0.412 0.612 
-0.022 0.074 -0.23 -0.192 0.416 0.608 
